,ID,Winery,Name,Vintage,Country,Region,Wine_Style,Wine_Type,Wine_Type_ID,Grape Type,Grape_ID,Rating,Review_Count,Price,Acidity,Fizziness,Intensity,Sweetness,Tannin
93,Tenuta Tignanello 'Solaia' 2017,Antinori,Tenuta Tignanello 'Solaia',2017,Italy,Toscana,tuscan-red,Red,1,Cabernet Sauvignon,2,4.7,1329,331.5,3.0648935,,3.4553576,1.8906335,2.9718184
94,Pauillac (Premier Grand Cru Classé) 1986,Château Lafite Rothschild,Pauillac (Premier Grand Cru Classé),1986,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1314,876.0,4.110219,,3.9830909,1.6745167,4.1105247
95,Saint-Estèphe (Grand Cru Classé) 1990,Château Montrose,Saint-Estèphe (Grand Cru Classé),1990,France,Saint-Estèphe,bordeaux-left-bank-saint-estephe,Saint-Estèphe,1,Cabernet Sauvignon,2,4.7,1271,720.0,4.2557707,,4.1911077,1.6226994,4.3623257
96,Grand Vin Pauillac (Premier Grand Cru Classé) 1999,Château Latour,Grand Vin Pauillac (Premier Grand Cru Classé),1999,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1190,850.0,4.13047,,4.1248455,1.6733406,4.1369643
97,Pauillac (Grand Cru Classé) 1982,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé),1982,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1175,990.0,4.1517296,,4.0542226,1.5923597,4.0936313
98,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2005,Château Pavie,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2005,France,Saint-Émilion Grand Cru,bordeaux-right-bank-saint-emilion,Saint-Émilion,1,Cabernet Sauvignon,2,4.7,1141,768.6,3.3888423,,4.1932726,1.8618784,3.5282464
99,Grand Vin Pauillac (Premier Grand Cru Classé) 2000,Château Latour,Grand Vin Pauillac (Premier Grand Cru Classé),2000,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1130,1116.0,4.13047,,4.1248455,1.6733406,4.1369643
100,Château Margaux (Premier Grand Cru Classé) 2020,Château Margaux,Château Margaux (Premier Grand Cru Classé),2020,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Franc,3,4.9,29,720.0,4.1657367,,3.673643,1.6061885,3.8240721
101,Château Margaux (Premier Grand Cru Classé) 2000,Château Margaux,Château Margaux (Premier Grand Cru Classé),2000,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Franc,3,4.8,1370,1300.0,4.1657367,,3.673643,1.6061885,3.8240721
102,Pomerol 1990,Château Pétrus,Pomerol,1990,France,Pomerol,bordeaux-right-bank-pomerol,Pomerol,1,Cabernet Franc,3,4.8,1207,12000.0,3.3757415,,4.131081,1.9722412,3.447233
